"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000021488"	0	0	0	1	1	1
"ENSG00000021574"	205	246	170	145	220	133
"ENSG00000021645"	12	16	18	24	10	20
"ENSG00000021762"	82	48	36	93	90	28
"ENSG00000021776"	519	437	353	268	309	176
"ENSG00000021826"	570	418	420	216	250	277
"ENSG00000022267"	2264	1620	1864	1552	1642	1345
"ENSG00000022277"	3168	3547	2194	2865	3110	2616
"ENSG00000022556"	1	1	2	3	4	0
"ENSG00000022567"	15	27	8	17	15	12
"ENSG00000022840"	821	982	632	796	804	512
"ENSG00000022976"	451	395	282	339	448	376
"ENSG00000023041"	2726	2452	1650	1852	2071	1253
"ENSG00000023171"	89	66	61	64	78	60
"ENSG00000023191"	1593	975	595	1459	643	174
"ENSG00000023228"	921	968	552	614	784	685
"ENSG00000023287"	330	268	240	159	207	192
"ENSG00000023318"	2402	2270	1394	1594	1885	1202
"ENSG00000023330"	960	737	678	767	942	561
"ENSG00000023445"	2	1	11	1	1	0
"ENSG00000023516"	39	54	42	34	30	24
"ENSG00000023572"	1138	1215	1058	738	759	464
"ENSG00000023608"	274	233	199	155	126	126
"ENSG00000023697"	459	410	552	327	362	412
"ENSG00000023734"	4673	4756	3124	3808	4130	3499
"ENSG00000023839"	10	1	0	4	0	1
"ENSG00000023892"	113	55	48	57	33	9
"ENSG00000023902"	371	407	269	351	346	140
"ENSG00000023909"	222	208	83	90	110	80
"ENSG00000024048"	123	143	103	59	112	45
"ENSG00000024422"	4	6	5	5	10	14
"ENSG00000024526"	1213	1266	796	432	659	566
"ENSG00000024862"	556	682	509	526	592	516
"ENSG00000025039"	99	150	106	111	122	92
"ENSG00000025156"	1053	1116	814	822	1059	654
"ENSG00000025293"	802	809	615	419	660	530
"ENSG00000025423"	105	87	98	92	82	48
"ENSG00000025434"	102	174	111	113	58	23
"ENSG00000025708"	58	44	24	60	47	24
"ENSG00000025770"	744	653	455	580	460	202
"ENSG00000025772"	1053	830	604	879	785	578
"ENSG00000025796"	762	615	670	504	629	579
"ENSG00000025800"	616	467	280	376	380	169
"ENSG00000026025"	10138	8725	9037	5369	6489	4665
"ENSG00000026036"	40	49	34	58	36	8
"ENSG00000026103"	1307	1301	717	813	775	686
"ENSG00000026297"	1650	1035	1025	1309	1345	670
"ENSG00000026508"	2080	1978	2420	1674	2024	2166
"ENSG00000026559"	68	68	66	69	68	63
"ENSG00000026652"	489	476	443	408	433	388
"ENSG00000026751"	0	0	0	1	0	1
"ENSG00000026950"	54	43	59	34	43	73
"ENSG00000027001"	303	296	147	257	208	93
"ENSG00000027075"	7	2	5	3	17	31
"ENSG00000027644"	0	0	0	2	0	0
"ENSG00000027697"	1561	1537	950	1156	1253	977
"ENSG00000027847"	248	164	165	180	213	83
"ENSG00000027869"	1	0	0	2	16	0
"ENSG00000028116"	697	542	574	397	480	414
"ENSG00000028137"	14	4	2	2	1	2
"ENSG00000028203"	762	863	620	675	692	435
"ENSG00000028277"	4	1	6	1	5	0
"ENSG00000028310"	478	384	334	494	561	143
"ENSG00000028528"	889	802	566	482	667	412
"ENSG00000028839"	829	771	687	551	589	359
"ENSG00000029153"	175	196	60	91	151	24
"ENSG00000029363"	4706	4049	2439	3752	4643	2601
"ENSG00000029364"	608	518	593	368	566	555
"ENSG00000029534"	40	84	25	15	11	35
"ENSG00000029639"	538	698	855	442	343	575
"ENSG00000029725"	970	489	398	496	411	123
"ENSG00000029993"	3704	3884	1829	3928	4078	2973
"ENSG00000030066"	972	766	435	997	1082	619
"ENSG00000030110"	1029	838	481	786	620	272
"ENSG00000030304"	0	0	0	0	0	2
"ENSG00000030419"	23	7	21	13	2	5
"ENSG00000030582"	1181	1197	788	1005	1040	380
"ENSG00000031003"	148	167	124	124	197	62
"ENSG00000031081"	21	7	13	9	7	9
"ENSG00000031691"	405	397	242	294	478	306
"ENSG00000031698"	3351	3620	5881	2445	2479	3797
"ENSG00000031823"	532	466	356	353	305	187
"ENSG00000032219"	127	179	116	69	76	50
"ENSG00000032389"	540	648	457	505	516	532
"ENSG00000032444"	45	78	90	38	93	13
"ENSG00000032742"	217	194	184	149	135	113
"ENSG00000033011"	1690	1561	1139	1676	1702	898
"ENSG00000033030"	347	378	361	131	138	241
"ENSG00000033050"	1133	946	510	680	731	397
"ENSG00000033100"	70	60	49	86	110	40
"ENSG00000033122"	143	85	53	103	85	74
"ENSG00000033170"	420	309	486	297	364	346
"ENSG00000033178"	191	127	74	86	80	62
"ENSG00000033327"	58	32	62	34	31	18
"ENSG00000033627"	2460	1969	2298	1362	1221	1133
"ENSG00000033800"	553	466	340	313	283	217
"ENSG00000033867"	215	242	164	44	198	108
"ENSG00000034053"	114	146	109	111	134	30
"ENSG00000034152"	792	571	212	418	259	176
"ENSG00000034239"	1	1	1	0	0	0
"ENSG00000034510"	33285	42943	28302	29485	35660	38847
"ENSG00000034533"	159	148	134	141	123	155
"ENSG00000034677"	135	85	94	73	119	61
"ENSG00000034693"	791	813	495	738	667	462
"ENSG00000034713"	3327	4175	2831	2618	3052	3026
"ENSG00000035115"	249	329	328	295	337	308
